"","x"
"1","ENSG00000286391"
"2","ENSG00000286460"
"3","ENSG00000139287"
"4","ENSG00000224814"
"5","ENSG00000253182"
"6","ENSG00000239468"
"7","ENSG00000140623"
"8","ENSG00000261760"
"9","ENSG00000287229"
"10","ENSG00000276410"
"11","ENSG00000286370"
"12","ENSG00000235725"
"13","ENSG00000263041"
"14","ENSG00000226601"
"15","ENSG00000249577"
"16","ENSG00000146039"
"17","ENSG00000253923"
"18","ENSG00000217083"
"19","ENSG00000260466"
"20","ENSG00000287635"
"21","ENSG00000269729"
"22","ENSG00000250829"
"23","ENSG00000286900"
"24","ENSG00000240305"
"25","ENSG00000237063"
"26","ENSG00000180658"
"27","ENSG00000253126"
"28","ENSG00000253752"
"29","ENSG00000163394"
"30","ENSG00000238125"
"31","ENSG00000232906"
"32","ENSG00000229407"
"33","ENSG00000261522"
"34","ENSG00000239498"
"35","ENSG00000255216"
"36","ENSG00000213620"
"37","ENSG00000257083"
"38","ENSG00000254114"
"39","ENSG00000238153"
"40","ENSG00000261268"
"41","ENSG00000226695"
"42","ENSG00000250511"
"43","ENSG00000234289"
"44","ENSG00000237445"
"45","ENSG00000255991"
"46","ENSG00000257408"
"47","ENSG00000172073"
"48","ENSG00000263501"
"49","ENSG00000172365"
"50","ENSG00000258692"
"51","ENSG00000276763"
"52","ENSG00000281550"
"53","ENSG00000278455"
"54","ENSG00000281832"
"55","ENSG00000263588"
"56","ENSG00000176515"
"57","ENSG00000230392"
"58","ENSG00000274019"
"59","ENSG00000228573"
"60","ENSG00000253766"
"61","ENSG00000225146"
"62","ENSG00000107447"
"63","ENSG00000232560"
"64","ENSG00000152034"
"65","ENSG00000256008"
"66","ENSG00000286167"
"67","ENSG00000234008"
"68","ENSG00000260146"
"69","ENSG00000231310"
"70","ENSG00000152591"
"71","ENSG00000257683"
"72","ENSG00000184478"
"73","ENSG00000115844"
"74","ENSG00000229316"
"75","ENSG00000287623"
"76","ENSG00000253467"
"77","ENSG00000257986"
"78","ENSG00000234768"
"79","ENSG00000232894"
"80","ENSG00000285163"
"81","ENSG00000263429"
"82","ENSG00000240427"
"83","ENSG00000279739"
"84","ENSG00000283052"
"85","ENSG00000270479"
"86","ENSG00000236189"
"87","ENSG00000230817"
"88","ENSG00000285970"
"89","ENSG00000267245"
"90","ENSG00000256824"
"91","ENSG00000253567"
"92","ENSG00000258700"
"93","ENSG00000279036"
"94","ENSG00000260889"
"95","ENSG00000267577"
"96","ENSG00000232762"
"97","ENSG00000188086"
"98","ENSG00000163581"
"99","ENSG00000263176"
"100","ENSG00000177800"
"101","ENSG00000241187"
"102","ENSG00000162009"
"103","ENSG00000186086"
"104","ENSG00000267922"
"105","ENSG00000225620"
"106","ENSG00000255051"
