"","x"
"1","ENSG00000185303"
"2","ENSG00000122852"
"3","ENSG00000168484"
"4","ENSG00000175899"
"5","ENSG00000124942"
"6","ENSG00000204592"
"7","ENSG00000116016"
"8","ENSG00000198695"
"9","ENSG00000100234"
"10","ENSG00000013588"
"11","ENSG00000115306"
"12","ENSG00000011465"
"13","ENSG00000170345"
"14","ENSG00000213853"
"15","ENSG00000079308"
"16","ENSG00000240583"
"17","ENSG00000211445"
"18","ENSG00000124107"
"19","ENSG00000167972"
"20","ENSG00000120129"
"21","ENSG00000026025"
"22","ENSG00000110799"
"23","ENSG00000090382"
"24","ENSG00000120738"
"25","ENSG00000149131"
"26","ENSG00000261371"
"27","ENSG00000123384"
"28","ENSG00000128016"
"29","ENSG00000105974"
"30","ENSG00000066405"
"31","ENSG00000173369"
"32","ENSG00000204305"
"33","ENSG00000177469"
"34","ENSG00000152583"
"35","ENSG00000127603"
"36","ENSG00000078081"
"37","ENSG00000125740"
"38","ENSG00000118523"
"39","ENSG00000142871"
"40","ENSG00000138821"
"41","ENSG00000067082"
"42","ENSG00000173372"
"43","ENSG00000171885"
"44","ENSG00000163513"
"45","ENSG00000136153"
"46","ENSG00000101335"
"47","ENSG00000166482"
"48","ENSG00000064042"
"49","ENSG00000077942"
"50","ENSG00000071967"
"51","ENSG00000184557"
"52","ENSG00000142973"
"53","ENSG00000090006"
"54","ENSG00000188906"
"55","ENSG00000107742"
"56","ENSG00000134531"
"57","ENSG00000260314"
"58","ENSG00000157654"
"59","ENSG00000196154"
"60","ENSG00000092964"
"61","ENSG00000107798"
"62","ENSG00000159388"
"63","ENSG00000130164"
"64","ENSG00000162511"
"65","ENSG00000147526"
"66","ENSG00000102575"
"67","ENSG00000171992"
"68","ENSG00000105971"
"69","ENSG00000121691"
"70","ENSG00000125810"
"71","ENSG00000112936"
"72","ENSG00000179820"
"73","ENSG00000196616"
"74","ENSG00000123358"
"75","ENSG00000164741"
"76","ENSG00000106991"
"77","ENSG00000024422"
"78","ENSG00000165168"
"79","ENSG00000133392"
"80","ENSG00000130522"
"81","ENSG00000133026"
"82","ENSG00000072274"
"83","ENSG00000019169"
"84","ENSG00000156675"
"85","ENSG00000136205"
"86","ENSG00000151914"
"87","ENSG00000115380"
"88","ENSG00000173706"
"89","ENSG00000087074"
"90","ENSG00000129250"
"91","ENSG00000165507"
"92","ENSG00000167552"
"93","ENSG00000070614"
"94","ENSG00000178695"
"95","ENSG00000152818"
"96","ENSG00000131471"
"97","ENSG00000101347"
"98","ENSG00000244734"
"99","ENSG00000007402"
"100","ENSG00000185432"
"101","ENSG00000168497"
"102","ENSG00000038945"
"103","ENSG00000112782"
"104","ENSG00000168743"
"105","ENSG00000275385"
"106","ENSG00000131018"
"107","ENSG00000197256"
"108","ENSG00000123146"
"109","ENSG00000102760"
"110","ENSG00000183087"
"111","ENSG00000169926"
"112","ENSG00000022267"
"113","ENSG00000138434"
"114","ENSG00000112531"
"115","ENSG00000203747"
"116","ENSG00000152661"
"117","ENSG00000204217"
"118","ENSG00000137491"
"119","ENSG00000155659"
"120","ENSG00000173376"
"121","ENSG00000144655"
"122","ENSG00000177575"
"123","ENSG00000094963"
"124","ENSG00000135929"
"125","ENSG00000198848"
"126","ENSG00000113594"
"127","ENSG00000149021"
"128","ENSG00000179776"
"129","ENSG00000137857"
"130","ENSG00000011600"
"131","ENSG00000065534"
"132","ENSG00000198682"
"133","ENSG00000174640"
"134","ENSG00000168685"
"135","ENSG00000004799"
"136","ENSG00000150938"
"137","ENSG00000165140"
"138","ENSG00000196730"
"139","ENSG00000011201"
"140","ENSG00000138772"
"141","ENSG00000154734"
"142","ENSG00000138593"
"143","ENSG00000111077"
"144","ENSG00000159713"
"145","ENSG00000178726"
"146","ENSG00000162772"
"147","ENSG00000032444"
"148","ENSG00000012779"
"149","ENSG00000241644"
"150","ENSG00000156052"
"151","ENSG00000078114"
"152","ENSG00000173391"
"153","ENSG00000103994"
"154","ENSG00000128849"
"155","ENSG00000175445"
"156","ENSG00000099860"
"157","ENSG00000048740"
"158","ENSG00000119138"
"159","ENSG00000165757"
"160","ENSG00000140092"
"161","ENSG00000074527"
"162","ENSG00000012822"
"163","ENSG00000081041"
